code,artist,title,url,notes
9900921,April Boy Regino,DI KO KAYANG TANGGAPIN,https://www.youtube.com/watch?v=BGfa0pHiOnE,
9900922,April Boy Regino,ESPERANZA,https://www.youtube.com/watch?v=v2bh-jGTW90,
9900923,April Boy Regino,HONEY MY LOVE SO SWEET,https://www.youtube.com/watch?v=M1WjYM3rYCk,
9900924,April Boy Regino,PAANO ANG PUSO KO,https://www.youtube.com/watch?v=vHvlxL64E0w,
9900925,April Boy Regino,PAANO ANG PUSO KO,https://www.youtube.com/watch?v=oejCuLpD_V0,
9900926,April Boy Regino,SANA'Y LAGING MAGKAPILING,https://www.youtube.com/watch?v=tEZSHXjf3fM,
9900927,April Boy Regino,UMIIYAK ANG PUSO,https://www.youtube.com/watch?v=3aEAz_6_CsI,
9900928,Arcade Fire,Intervention,https://www.youtube.com/watch?v=VHWiUNbUHoE,UVR
9900929,Arcade Fire,My Body Is A Cage,https://www.youtube.com/watch?v=N008jMdunIU,
9900930,Arcade Fire,Neighborhood #1 (Tunnels),https://www.youtube.com/watch?v=ncoRoCSKWvs,UVR
9900931,Arcade Fire,Ready To Start,https://www.youtube.com/watch?v=oBdoNHNrVb4,UVR
9900932,Ariana Grande,34+35,https://www.youtube.com/watch?v=kV1kNARhjDA,
9900933,Ariana Grande,7 rings,https://www.youtube.com/watch?v=f6E1690dVaU,Original Key
9900934,Ariana Grande,eternal sunshine,https://www.youtube.com/watch?v=hZyFg0zUVIc,Original Key
9900935,Ariana Grande,Last Christmas,https://www.youtube.com/watch?v=w0Gg_cpac8o,Original Key
9900936,Ariana Grande,positions,https://www.youtube.com/watch?v=uvkzTaHpdxE,Original Key
9900937,Ariana Grande,positions,https://www.youtube.com/watch?v=KpybquCVeDU,
9900938,Ariana Grande,Santa Tell Me,https://www.youtube.com/watch?v=ytGfitcpleU,Original Key
9900939,Ariana Grande,"thank u, next",https://www.youtube.com/watch?v=FS4yRmw2R3s,Original Key
9900940,Ariana Grande & Nathan Sykes,Almost Is Never Enough,https://www.youtube.com/watch?v=_ot0ilZ7QtI,Original Key
9900941,"Ariana Grande, Nicki Minaj",Side To Side,https://www.youtube.com/watch?v=vqcvist-WTg,Original Key
9900942,Ariel Rivera,A SMILE IN YOUR HEART,https://www.youtube.com/watch?v=sNG05qrRi0g,
9900943,Ariel Rivera,SA AKING PUSO,https://www.youtube.com/watch?v=zyvSTAVrDq0,
9900944,Ariel Rivera,SA AKING PUSO,https://www.youtube.com/watch?v=BQ5hPFpWyeM,
9900945,Ariel Rivera,SANA NGAYONG PASKO,https://www.youtube.com/watch?v=E8mKJKqQ7a8,
9900946,Asin,USOK,https://www.youtube.com/watch?v=4tj2cDrMZY8,
9900947,Atlantic Starr,MASTERPIECE,https://www.youtube.com/watch?v=ID9UkyFLwL4,
9900948,AURORA,Runaway,https://www.youtube.com/watch?v=O2mmI4CrWZg,Original Key
9900949,Ava Max,Into Your Arms (No Rap),https://www.youtube.com/watch?v=ArsO8PfB7EM,Original Key
9900950,Ava Max,Sweet But Psycho,https://www.youtube.com/watch?v=WeSFWJckGtk,Original Key
9900951,Avenged Sevenfold,Almost Easy,https://www.youtube.com/watch?v=WVWowvYjxIo,
9900952,Avenged Sevenfold,Buried Alive,https://www.youtube.com/watch?v=lARf23Pbb3Y,
9900953,Avenged Sevenfold,Danger Line,https://www.youtube.com/watch?v=Xwnilku6CKY,
9900954,Avenged Sevenfold,Doing Time,https://www.youtube.com/watch?v=0O0aBGA4jws,
9900955,Avenged Sevenfold,Hail To The King,https://www.youtube.com/watch?v=8RfomsBwcd0,
9900956,Avenged Sevenfold,Nightmare,https://www.youtube.com/watch?v=3eRN_LeUJEY,
